tipo_registro,youtube_link,data_sessao,classe_processo,numero_processo,origem,eleicao,tribunal,tema,punchline,votacao,resultado,pedido_vista,relator,partes,advogados,analise_do_conteudo_juridico,raciocinio_juridico,fundamentacao_normativa,precedentes_citados,resoluções_citadas,composicao
Julgamento 3,https://youtu.be/90pcX16pJGE?t=1135,6/11/2024,Lista Tríplice,0600673-32,Fortaleza/CE,,TRE-CE,Impugnação de indicados a lista tríplice por alegações de idoneidade e tempo de serviço,Impugnações sem gravidade comprovada não retiram indicados da lista.,Unânime,Aprovada,,Min. André Ramos Tavares,"Joyceane Bezerra de Menezes, Francisco Livelton Lopes Marcelino, Wilker Macedo Lima",,"Formação de lista tríplice para juiz substituto (classe advogado). Foram analisadas impugnações apresentadas por cidadãos contra dois indicados, que versavam sobre idoneidade moral e comprovação de tempo de exercício da advocacia. O relator reconheceu legitimidade dos impugnantes, examinou documentos e decidiu pela rejeição das impugnações: nos casos, as irregularidades apontadas eram de baixa gravidade (valores reduzidos, fatos sanados, execução fiscal com erro administrativo corrigido) e o tempo de exercício foi comprovado documentalmente.","Tese vencedora: rejeição das impugnações por ausência de mácula capaz de comprometer a idoneidade ou de comprovação de inabilitação quanto ao tempo de exercício. Para Francisco Livelton, as dívidas eram de baixo valor e sem gravidade; para Wilker Macedo, o erro fiscal foi sanado e o tempo de advocacia comprovado. Não houve tese vencedora em sentido contrário; o entendimento do relator foi acolhido por unanimidade, mantendo a lista. Ministros vencedores: plenário (unânime).","Código Eleitoral (Art. 25, § 3º), Constituição Federal",Precedente do Min. Nunes Marques citado no julgamento sobre idoneidade (LT nº 0600740-94),Res.-TSE nº 23.517/2017,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Raul Araújo, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. André Mendonça, Min. Isabel Gallotti"
Julgamento 4,https://youtu.be/90pcX16pJGE?t=1479,6/11/2024,RO,0602966-41,Fortaleza/CE,2022,TRE-CE,Publicidade institucional em redes sociais e abuso de poder político,Publicidade com baixa repercussão e conteúdo institucional não configura abuso eleitoral grave.,Unânime,Desprovido,,Min. Raul Araújo,"Sérgio de Araújo Lima Aguiar, Maria Elizabeth Magalhães, Jaime Veras Silva Filho, Francisco Edberto de Souza",Dra. Marilda de Paula Silveira,"Recurso em AIJE por abuso de poder político e conduta vedada decorrente de publicações institucionais em redes sociais de prefeituras que supostamente favoreceriam candidato a deputado estadual. O exame apurou a temporalidade das postagens (majoritariamente fora do período vedado), o conteúdo institucional/prestação de contas sem pedido de voto, a presença do deputado entre outras autoridades e o baixo engajamento das publicações. A tese central foi a exigência de demonstrar gravidade (reprovabilidade e repercussão) para ensejar cassação.","Tese vencedora: não acolhimento da alegação de abuso de poder por ausência de gravidade e repercussão suficientes. O relator entendeu que a maioria das postagens ocorreu fora do período vedado, apenas uma no período tinha caráter institucional sem pedido de voto e com baixo engajamento, afastando a reprovabilidade necessária para sanção. Preliminares foram rejeitadas. Conclusão do colegiado: negar provimento ao recurso e manter a improcedência da ação. Votação unânime; não houve ministro vencido.","CF/88 (Art. 37, § 1º), Lei nº 9.504/1997 (Art. 73, VI; Art. 74), LC nº 64/1990 (Art. 22)",Jurisprudência iterativa do TSE sobre exigência de gravidade (reprovabilidade e repercussão) para cassação,Res.-TSE nº 23.417/2014 (Arts. 19 e 22),"Min. Cármen Lúcia, Min. Nunes Marques, Min. Raul Araújo, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. André Mendonça, Min. Isabel Gallotti"
Julgamento 5,https://youtu.be/90pcX16pJGE?t=2488,6/11/2024,AgRg-AREspe,0600103-98,Missão Velha/CE,2021,TRE-CE,Reexame de provas e gravidade de ato isolado em AIJE,"Um ato isolado e sem prova de gravidade não merece cassação, vedado o reexame em sede especial.",Unânime,Desprovido,,Min. Nunes Marques,Coligação Unidos pela Vontade do Povo,"Dr. Leonardo Roberto Oliveira de Vasconcelos, Dr. Luis Rosenberg Dantas Macedo Filho, Dr. Antônio Rodrigues Roberto","Agravo regimental em AIJE (ou Recurso Contra Expedição de Diploma) envolvendo suposto abuso de poder político/conduta vedada pela utilização de receituário médico com timbre da prefeitura para atendimento. O TRE entendeu que houve apenas um receituário isolado sem identificação de paciente, sem gravidade. O relator aplicou entendimento sumular que impede reexame de provas em sede especial, afirmando que reverter a conclusão do TRE exigiria reanálise de fatos e provas.","Tese vencedora: aplicação da Súmula 24 do TSE para vedar o reexame de fatos e provas em sede especial e consequente manutenção da conclusão do TRE de ausência de gravidade. O relator entendeu que um único receituário, sem identificação e sem prova de repercussão, não configura gravidade apta a ensejar cassação. Não houve divergência superveniente; o colegiado decidiu por unanimidade negar provimento ao agravo. Ministros vencedores: plenário; não houve vencidos.","Lei nº 9.504/1997 (Art. 73, V)","Súmula 24/TSE, Súmula 27/TSE",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Raul Araújo, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. André Mendonça, Min. Isabel Gallotti"
Julgamento 6,https://youtu.be/90pcX16pJGE?t=2793,6/11/2024,AgRg-AREspe,0600717-67,Cascavel/CE,2020,TRE-CE,Inelegibilidade superveniente e efeitos de liminar sobre filiação partidária,Liminar vigente no dia do pleito afasta inelegibilidade superveniente.,Unânime,Desprovido,,Min. Nunes Marques,"PSD - Partido Social Democrático (Diretório Municipal), Francisco Ivan Bessa de Castro",,"Recurso contra expedição de diploma suscitando inelegibilidade superveniente por expulsão partidária após as eleições. A questão central foi a data em que a expulsão produziu efeitos: houve expulsão em 06/11/2020, mas liminar de suspensão em 10/11/2020 e eleição em 15/11/2020, de modo que na data do pleito o candidato estava amparado por liminar. Aplica-se o conceito de inelegibilidade superveniente como a situação que exista até a data do pleito.","Tese vencedora: inaplicabilidade da inelegibilidade superveniente, porquanto no dia do pleito o candidato estava filiado em razão de liminar que suspendeu os efeitos da expulsão. O relator aplicou a Súmula 47/TSE e concluiu que a inelegibilidade só se efetivou após o pleito, impedindo o manejo do RCED. Não houve divergência suficiente; o colegiado manteve o entendimento do TRE por unanimidade, negando provimento ao agravo. Ministros vencedores: plenário; não houve vencidos.",Código Eleitoral (Art. 262),"Súmula 47/TSE; REspe 0600233 (Rel. Alexandre de Moraes, j. 04/05/2022)",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Raul Araújo, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. André Mendonça, Min. Isabel Gallotti"
Julgamento 7,https://youtu.be/90pcX16pJGE?t=3315,6/11/2024,REspe,0600012-14,Boa Vista/RR,2020,TRE-RR,Perda de mandato por desfiliação partidária e conceito de justa causa,Exoneração de apadrinhados não é justa causa; mandato perdido por infidelidade partidária.,Por maioria,Provido,,Min. Raul Araújo,"Republicanos Estadual, Adjalma Gonçalves, Solidariedade Estadual","Dr. Júlio Roberto de Souza Benchimol Pinto, Dr. Joelson Costa Dias","Recurso especial eleitoral sobre perda de mandato por desfiliação partidária. O recorrido alegou 'justa causa' (exoneração de cargos de confiança) para mudança de partido. O Tribunal analisou a jurisprudência sobre fidelidade partidária e justa causa, entendendo que exoneração de apadrinhados não configura justa causa suficiente para justificar desfiliação sem perda de mandato. Além disso, debateu-se a eficácia temporal da decisão (execução imediata vs execução após publicação do acórdão).","Tese vencedora: a exoneração de apadrinhados em cargos de confiança não constitui 'justa causa' apta a autorizar a desfiliação partidária sem a perda do mandato. O relator (Min. Raul Araújo) propôs provimento para decretar a perda do mandato. Houve destaque do Min. Floriano de Azevedo Marques defendendo eficácia imediata da decisão, enquanto o relator original propunha execução após publicação; o Min. Nunes Marques sugeriu meio termo (ofício ao TRE para cumprimento imediato). O colegiado majoritariamente acolheu a perda do mandato e determinou a expedição imediata de ofício ao TRE-RR para cumprimento da decisão, independentemente da publicação do acórdão. Resultado por maioria, com Min. Alexandre de Moraes parcialmente vencido quanto à forma de execução (secução imediata). Ministros vencedores: maioria do plenário (Min. Cármen Lúcia, Min. Nunes Marques, Min. Raul Araújo, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. Isabel Gallotti, Min. André Mendonça); ministro vencido parcialmente: Min. Alexandre de Moraes.",,Ação de Justificação de Desfiliação nº 0600118 (Rel. André Ramos Tavares),Res.-TSE nº 22.610/2007 (Art. 10),"Min. Cármen Lúcia, Min. Nunes Marques, Min. Raul Araújo, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. André Mendonça, Min. Isabel Gallotti"
Julgamento 1,http://www.youtube.com/watch?v=lPTaitQaO5U&t=545,6/13/2024,CTA,0600334-39,Brasília/DF,,TSE,Inelegibilidade reflexa de cônjuge e parentes quanto à sucessão/reeleição,Consulta não conhecida: Súmula 6 pacificou a matéria.,Unânime,Não conhecido,,Min. Raul Araújo,Eunício Lopes de Oliveira (Deputado Federal),,"Consulta formulada por Deputado Federal sobre hipóteses de inelegibilidade reflexa (cônjuge/parentesco) em tese, questionando a possibilidade de reeleição ou sucessão de cônjuges/parentes de titulares do Executivo. O Relator ressaltou que a matéria já se encontra pacificada pelo Tribunal, notadamente pela Súmula nº 6, razão pela qual a consulta, por versar sobre tema já decidido, não merece conhecimento.","Tese vencedora: não conhecimento da consulta diante da existência de entendimento pacificado pelo Tribunal (Súmula nº 6) sobre a inelegibilidade de cônjuge/parentes do titular do executivo, salvo hipóteses expressas (falecimento, renúncia ou afastamento definitivo até seis meses antes do pleito). Não houve tese divergente apresentada no voto. Conclusão colegiada: consulta não conhecida. Decisão unânime (Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares).","Constituição Federal, Art. 14, §§ 5º e 7º, Código Eleitoral, Art. 23, inciso XII, Súmula TSE nº 6",Súmula TSE nº 6 (pacificação da matéria sobre inelegibilidade reflexa),,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 2,http://www.youtube.com/watch?v=lPTaitQaO5U&t=738,6/13/2024,RPP,0025929-56,Brasília/DF,,TSE,Anotação de alterações estatutárias e autonomia partidária,Alterações estatutárias do Republicanos aprovadas: autonomia partidária preservada com adequações formais.,Unânime,Aprovada,,Min. Isabel Gallotti,Republicanos Nacional,,"Anotação de alterações estatutárias submetidas pelo Partido Republicanos Nacional aprovadas em convenção. As alterações tratam da composição de órgãos internos, competências da tesouraria e conselho fiscal, supressão de voto secreto em certas eleições internas e tipificação de infrações disciplinares. A Relatora examinou conformidade com a autonomia partidária (EC 111/2021) e a Lei dos Partidos Políticos, destacando que dispositivos não alterados não demandam apreciação; avaliou como regulares os ajustes na composição e competências, admitiu sanções disciplinares por desobediência contínua sem qualificá-las como infidelidade partidária, e considerou adequada a exclusão de dispositivos que poderiam ensejar ingerência indevida.","Tese vencedora: deferimento da anotação das alterações estatutárias por compatibilidade com a autonomia partidária e observância da Lei nº 9.096/1995; entendimento de que dispositivos não alterados não são objeto de apreciação. A relatora avaliou que a tipificação de desobediência contínua como infração disciplinar é admissível sem implicar em infidelidade partidária, e que a exclusão de dispositivos que pudessem gerar ingerência em fundação/instuto é adequada. Não houve divergência registrada. Conclusão colegiada: pedido deferido. Decisão unânime (Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares).","Emenda Constitucional nº 111/2021 (Art. 3º, inciso II), Lei nº 9.096/1995 (Art. 20), Resolução TSE nº 23.571/2018","Precedente do Min. Sérgio Banhos (sobre funcionamento de órgãos internos), Acórdão de 27/08/2020 (exclusão do Art. 53 do estatuto)",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 3,http://www.youtube.com/watch?v=lPTaitQaO5U&t=1119,6/13/2024,CTA,0600174-48,Brasília/DF,,TSE,Inelegibilidade por parentesco e efeitos do divórcio sobre sucessão eleitoral,Consulta não conhecida: jurisprudência consolidada sobre inelegibilidade reflexa aplica-se.,Unânime,Não conhecido,,Min. Nunes Marques,Márcio Caldas Marinho (Deputado Federal),,"Consulta em tese com duas questões sobre inelegibilidade reflexa: (1) se cunhada de prefeito reeleito, divorciada no curso do segundo mandato, pode candidatar-se ao mesmo cargo subsequente; (2) se parente consanguíneo até 2º grau de prefeito falecido no primeiro semestre do segundo mandato pode candidatar-se. O Relator aplicou jurisprudência consolidada e a Súmula nº 6, que restringe hipóteses de sucessão apenas nas situações de falecimento, renúncia ou afastamento definitivo até seis meses antes do pleito; entendeu que a matéria está pacificada e, portanto, não conheceu da consulta.","Tese vencedora: não conhecimento da consulta por tratar de matéria já decidida pelo Tribunal. O Relator aplicou a súmula pacificadora, afastando análise em mérito das hipóteses apresentadas. Não houve posicionamento divergente registrado. Conclusão colegiada: consulta não conhecida. Decisão unânime (Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. Edilene Lôbo).","Constituição Federal, Art. 14, § 7º, Súmula TSE nº 6",Súmula TSE nº 6 (aplicação direta às hipóteses consultadas),,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 4,http://www.youtube.com/watch?v=lPTaitQaO5U&t=1355,6/13/2024,AgRg-REspe,0000593-52,Saudade do Iguaçu/PR,2016,TRE-PR,Conduta vedada e abuso de poder por execução de programas sociais em ano eleitoral,Condenação mantida: distribuição de benefícios em ano eleitoral configura abuso de poder eleitoral.,Unânime,"Desprovido, Não conhecido",,Min. Nunes Marques,"Mauro César Sense (Prefeito reeleito), Darlei Trento (Vice), Salete Risate Trento, Julcimar Marangon, Sueli Silva Boquio (Vereadora)",,"Agravo Regimental em Recurso Especial Eleitoral relativo à AIJE que apurou distribuição de bens/benefícios (casas, reformas, cestas básicas) por programas sociais ('Casa Nova'/'Casa Renovada') em ano eleitoral, sem execução orçamentária prévia, com aumento significativo de beneficiários e gasto aproximado de R$ 3 milhões, e exigência de título de eleitor local. O TRE/PR concluiu pela prática de conduta vedada (Art. 73, §10, Lei 9.504/97) e abuso de poder. O Relator avaliou provas documentais sobre ausência de previsão orçamentária anterior, reconheceu o viés eleitoreiro e manteve o entendimento de que reexaminar provas em sede especial é vedado (Súmula nº 24). O agravo de Sueli Boquio foi não conhecido por reprodução meramente formal dos argumentos (Súmula nº 26).","Tese vencedora: manutenção da condenação por conduta vedada e abuso de poder em razão de execução massiva de programas sociais iniciada em ano eleitoral sem previsão orçamentária anterior, com distribuição seletiva de benefícios, evidenciando desvio de finalidade eleitoral. O Relator rejeitou pedido de reexame de fatos e provas (Súmula 24) e não conheceu agravo que apenas reproduzia argumentos sem impugnação específica (Súmula 26). Não houve divergência informada no relatório. Conclusão colegiada: agravo denegado/negado provimento; agravo de Sueli não conhecido. Decisão unânime (Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares).","Lei nº 9.504/1997, Art. 73, § 10, Súmula TSE nº 24, Súmula TSE nº 26, Súmula TSE nº 30",Decisões do TRE/PR sobre execução orçamentária e aplicação das Súmulas 24 e 26,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 5,http://www.youtube.com/watch?v=lPTaitQaO5U&t=1769,6/13/2024,AgRg-AREspe,0600184-46,Contagem/MG,2020,TRE-MG,Infidelidade partidária e perda de mandato eletivo por desfiliação sem justa causa,Perda de mandato mantida: ausência de justa causa comprovada para desfiliação.,Unânime,Desprovido,,Min. Nunes Marques,"Carlos Magno de Moura Soares (Vereador), Partido Democrático Trabalhista (PDT) - Diretórios MunicipalEstadual",,"Agravo Regimental relativo à perda de mandato por desfiliação sem justa causa: o vereador alegou 'grave discriminação pessoal', mudança de programa partidário e cobrança de quantia como requisitos que justificariam a desfiliação. O TRE/MG entendeu não comprovada a mudança substancial do programa partidário nem a discriminação pessoal suficiente a caracterizar justa causa. O Relator concluiu que as alegações novas (cobrança de propina) foram trazidas tardiamente e sem provas, e que rever o conjunto fático-probatório importaria em reexame vedado (Súmula nº 24).","Tese vencedora: manutenção da decisão regional que reconheceu a perda do mandato por desfiliação sem justa causa, por ausência de prova idônea de discriminação pessoal ou mudança programática que justificasse a saída. Alegações de cobrança emergiram tardiamente e sem comprovação, sendo inadequado reexaminar o conjunto probatório em sede especial. Não houve tese vencedora divergente apresentada no voto. Conclusão colegiada: agravo negado/denegado provimento; manutenção da perda do mandato. Decisão unânime (Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares).","Lei nº 9.096/1995, Art. 22-A, parágrafo único, incisos I e II, Código Eleitoral, Art. 275, Súmula TSE nº 24",Jurisprudência do TRE/MG e Súmula TSE nº 24 (vedação ao reexame de provas),,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 6,http://www.youtube.com/watch?v=lPTaitQaO5U&t=1769,6/13/2024,AgRg-AREspe,0600194-13,Contagem/MG,2020,TRE-MG,Infidelidade partidária e manutenção de perda de mandato,Manutenção da perda do mandato por ausência de justa causa comprovada.,Unânime,Desprovido,,Min. Nunes Marques,"Carlos Magno de Moura Soares (Vereador), Partido Democrático Trabalhista (PDT) - Diretórios MunicipalEstadual",,"Agravo regimental conexo ao anterior, também versando sobre perda de mandato por desfiliação sem justa causa. O Relator acompanhou o entendimento do TRE/MG de que não houve prova de justa causa (discriminação pessoal ou mudança programática), e que novas alegações não comprovadas não podem ensejar reforma em sede especial, por implicarem reexame fático-probatório.","Tese vencedora: manutenção da decisão regional que afastou a existência de justa causa para a desfiliação, mantendo a perda do mandato. O Relator entendeu que nova matéria trazida tardiamente não tem lastro probatório suficiente e que o reexame fático é vedado. Não houve divergência registrada. Conclusão colegiada: agravo desprovido/negado provimento. Decisão unânime (Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. Edilene Lôbo).","Lei nº 9.096/1995, Art. 22-A, parágrafo único, incisos I e II, Código Eleitoral, Art. 275, Súmula TSE nº 24",Jurisprudência do TRE/MG e Súmula TSE nº 24,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 7,http://www.youtube.com/watch?v=lPTaitQaO5U&t=2088,6/13/2024,ED-REspe,0603615-22,Goiânia/GO,2022,TRE-GO,Propaganda eleitoral irregular por derramamento de material de campanha (santinhos),"Multa mantida: responsabilidade individual pelo derramamento de santinhos, independente de prática simultânea por terceiros.",Unânime,Desprovido,,Min. Floriano de Azevedo Marques,"Ismael Alexandrino Júnior, PSDB (Estadual)",Dr. Edson Ferrari Filho,"Embargos de declaração recebidos como agravo regimental contra acórdão que condenou por propaganda eleitoral irregular (derramamento de santinhos em locais de votação). A defesa alegou que outros candidatos também praticaram a irregularidade em maior volume. O Relator considerou incontroverso o fato do derramamento para o embargante, aplicando a Resolução TSE nº 23.610 que atribui responsabilidade objetiva pelo derramamento independentemente de exclusividade. Recebeu-se os embargos como agravo e manteve-se a multa, em valor proporcional à capacidade econômica, reincidência e à necessidade de desestimular a prática.","Tese vencedora: manutenção da multa por derramamento de santinhos, com recebimento dos embargos como agravo regimental. O Relator ressaltou que a Resolução aplicável não exige exclusividade para a configuração do ilícito, e que a responsabilidade é individual pela prática verificada. A defesa alegou desproporcionalidade e prática concorrente por terceiros, mas tal argumento não exclui a responsabilidade própria do embargante. Aplicou-se proporcionalidade para fixação da multa (R$ 24.000,00) considerando capacidade econômica e reincidência. Não houve divergência registrada. Conclusão colegiada: embargos recebidos como agravo e desprovidos; multa mantida. Decisão unânime (Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares).","Lei nº 9.504/1997, Art. 37, § 1º, Código de Processo Civil, Art. 1.022, Resolução TSE nº 23.610 (Art. 19, § 7º), Código Eleitoral, Art. 367, § 2º, Súmula TSE nº 24, Súmula TSE nº 30",Precedente do Min. Sérgio Banhos (sobre impossibilidade de redução de multa quando devidamente fundamentada),,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
