"Rel","Nivel","Cat","Arq","NSub","Full"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 12","5","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 12"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 16","5","06 - Estudos, concursos e leitura","10","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 16"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 4","5","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 4"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 5","5","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 5"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 8","5","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 8"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 9","5","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 9"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIOS 2 e 3","5","06 - Estudos, concursos e leitura","13","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIOS 2 e 3"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\Textos do Prof. Airton Seelaender","5","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\Textos do Prof. Airton Seelaender"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2009","5","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2009"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2010","5","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2010"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2011","5","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2011"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2012","5","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2012"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2013","5","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2013"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2014","5","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2014"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2015","5","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2015"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2016","5","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2016"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2017","5","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2017"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2018","5","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\2018"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\Aulas UnB","5","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\Aulas UnB"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\Pasta UnB","5","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)\Pasta UnB"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(1) Aula de 25.08.2020","5","06 - Estudos, concursos e leitura","5","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(1) Aula de 25.08.2020"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(10) Aula de 24.11.2020","5","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(10) Aula de 24.11.2020"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(2) Aula de 01.09.2020","5","06 - Estudos, concursos e leitura","4","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(2) Aula de 01.09.2020"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(3) Aula de 15.09.2020","5","06 - Estudos, concursos e leitura","9","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(3) Aula de 15.09.2020"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(4) Aula de 22.09.2020","5","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(4) Aula de 22.09.2020"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(5) Aula de 06.10.2020","5","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(5) Aula de 06.10.2020"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(6) Aula de 20.10.2020","5","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(6) Aula de 20.10.2020"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(7) Aula de 28.10.2020","5","06 - Estudos, concursos e leitura","13","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(7) Aula de 28.10.2020"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(8) Palestra de 10.11.2020","5","06 - Estudos, concursos e leitura","11","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(8) Palestra de 10.11.2020"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(9) Aula de 17.11.2020","5","06 - Estudos, concursos e leitura","7","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(9) Aula de 17.11.2020"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\Artigo Final","5","06 - Estudos, concursos e leitura","7","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\Artigo Final"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(1) Aula de 25.08.2020\Artigos sugeridos Francisco Simões","6","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(1) Aula de 25.08.2020\Artigos sugeridos Francisco Simões"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(2) Aula de 01.09.2020\Artigos sugeridos Abner Youssif","6","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(2) Aula de 01.09.2020\Artigos sugeridos Abner Youssif"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(7) Aula de 28.10.2020\Negros (Google Schoolar)","6","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\(7) Aula de 28.10.2020\Negros (Google Schoolar)"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO - EaD","5","06 - Estudos, concursos e leitura","16","2","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO - EaD"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen","5","06 - Estudos, concursos e leitura","7","14","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MATERIAIS GRAD ANTÔNIO BORGES","5","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MATERIAIS GRAD ANTÔNIO BORGES"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MATERIAIS GRAD VALCIR GASSEN","5","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MATERIAIS GRAD VALCIR GASSEN"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO","5","06 - Estudos, concursos e leitura","10","6","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\PACTO FEDERATIVO","5","06 - Estudos, concursos e leitura","25","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\PACTO FEDERATIVO"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO - EaD\Interpretação das normas tributárias","6","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO - EaD\Interpretação das normas tributárias"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO - EaD\Tarefa 4.1","6","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO - EaD\Tarefa 4.1"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\E-mail com tarefas ao Prof. Valcir","6","06 - Estudos, concursos e leitura","7","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\E-mail com tarefas ao Prof. Valcir"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Exclusão do ICMS da base de cálculo do PIS e da COFINS","6","06 - Estudos, concursos e leitura","24","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Exclusão do ICMS da base de cálculo do PIS e da COFINS"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\NBR_s","6","06 - Estudos, concursos e leitura","11","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\NBR_s"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 1","6","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 1"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 10 - Piketty","6","06 - Estudos, concursos e leitura","1","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 10 - Piketty"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 2","6","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 2"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 3","6","06 - Estudos, concursos e leitura","8","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 3"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 4","6","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 4"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 5","6","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 5"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 6","6","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 6"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 7","6","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 7"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 8","6","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 8"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 9","6","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 9"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Textos auxiliares","6","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Textos auxiliares"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 10 - Piketty\Críticas Piketty","7","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Seminário 10 - Piketty\Críticas Piketty"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Dívida Pública","6","06 - Estudos, concursos e leitura","4","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Dívida Pública"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Gilberto Bercovivi","6","06 - Estudos, concursos e leitura","19","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Gilberto Bercovivi"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Monografia","6","06 - Estudos, concursos e leitura","2","2","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Monografia"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Prioridades de leitura","6","06 - Estudos, concursos e leitura","0","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Prioridades de leitura"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Questão bancária","6","06 - Estudos, concursos e leitura","12","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Questão bancária"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\SIAFI - CAUC - CADIN","6","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\SIAFI - CAUC - CADIN"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Dívida Pública\Lidos","7","06 - Estudos, concursos e leitura","7","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Dívida Pública\Lidos"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Monografia\Prioridades de leitura","7","06 - Estudos, concursos e leitura","0","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Monografia\Prioridades de leitura"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Monografia\Questão bancária","7","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Monografia\Questão bancária"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Monografia\Prioridades de leitura\Lidos","8","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Monografia\Prioridades de leitura\Lidos"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Prioridades de leitura\Lidos","7","06 - Estudos, concursos e leitura","10","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\MONOGRAFIA FEDERALISMO\Prioridades de leitura\Lidos"
