Tema,Julgado em,Tese Firmada,Processo,Questão submetida a julgamento,Anotações NUGEPNAC 1,Informações Complementares,Repercussão Geral,Órgão Julgador,Situação do Tema,Ramo do direito,Subramos,Relator Atual,Tribunal de Origem,Trânsito em Julgado,Ref_Sum,Súmula Originada do Tema,Súmula Originária do PUIL,Data de Afetação,Delimitação do Julgado,Estado de Deduplicação,Número de Registro,RRC,Entendimento Anterior,Observação de Afetação,Audiência Pública,Data de Admissão,Data de teração da Tese Firmada,Data de Desafetação,Embargo de Divergência,Embargos de Declaração,Observação de Admissão,Observação de Desafetação,Observação de Recusa,Relator que Afetou o Processo,Referência,Processo STF,Vista MPF
1239,11/06/2025,Não incidem a contribuição ao PIS e a COFINS sobre as receitas advindas da prestação de serviço e da venda de mercadorias nacionais e nacionalizadas a pessoas físicas e jurídicas no âmbito da Zona Franca de Manaus,REsp 2093052/AM,Definir se a contribuição ao PIS e à COFINS incidem sobre a receita decorrente de vendas de mercadorias de origem nacional ou nacionalizada e advinda de prestação de serviço para pessoas físicas ou jurídicas no âmbito da Zona Franca de Manaus.,"Afetação na sessão eletrônica iniciada em 21/2/2024 e finalizada em 27/2/2024 (Primeira Seção), acórdãos publicados no DJe de 12/3/2024. Vide Controvérsia nº 584/http: //STJ. Questão de ordem publicada nos Recursos Especiais integrantes do tema, Djen de 9/12/2024, para ampliar a questão controvertida. Em decorrência, a data de afetação considerada para este tema é 9/12/2024.",Há determinação de suspensão dos recursos especiais ou agravos em recursos especiais em segunda instância e/ou no STJ fundados em idêntica questão de direito (art. 256-L do RISTJ).,Tema 1363/STF - Incidência de PIS e de Cofins sobre as receitas de prestação de serviços para pessoas físicas e jurídicas na Zona Franca de Manaus.,1ª Seção,Acórdão Publicado,DIREITO TRIBUTÁRIO,Contribuições Sociais,GURGEL DE FARIA,TRF1,,,,,12/3/2024,,Duplicado,202302472581,Sim,,,,,,,,,,,,GURGEL DE FARIA,,,
1239,11/06/2025,Não incidem a contribuição ao PIS e a COFINS sobre as receitas advindas da prestação de serviço e da venda de mercadorias nacionais e nacionalizadas a pessoas físicas e jurídicas no âmbito da Zona Franca de Manaus,REsp 2152904/AM,Definir se a contribuição ao PIS e à COFINS incidem sobre a receita decorrente de vendas de mercadorias de origem nacional ou nacionalizada e advinda de prestação de serviço para pessoas físicas ou jurídicas no âmbito da Zona Franca de Manaus.,"Afetação na sessão eletrônica iniciada em 21/2/2024 e finalizada em 27/2/2024 (Primeira Seção), acórdãos publicados no DJe de 12/3/2024. Vide Controvérsia nº 584/http: //STJ. Questão de ordem publicada nos Recursos Especiais integrantes do tema, Djen de 9/12/2024, para ampliar a questão controvertida. Em decorrência, a data de afetação considerada para este tema é 9/12/2024.",Há determinação de suspensão dos recursos especiais ou agravos em recursos especiais em segunda instância e/ou no STJ fundados em idêntica questão de direito (art. 256-L do RISTJ).,Tema 1363/STF - Incidência de PIS e de Cofins sobre as receitas de prestação de serviços para pessoas físicas e jurídicas na Zona Franca de Manaus.,1ª Seção,Acórdão Publicado,DIREITO TRIBUTÁRIO,Contribuições Sociais,GURGEL DE FARIA,TRF1,,,,,4/12/2024,,Duplicado,202402297147,Sim,,,,,,,,,,,,GURGEL DE FARIA,,,
1239,11/06/2025,Não incidem a contribuição ao PIS e a COFINS sobre as receitas advindas da prestação de serviço e da venda de mercadorias nacionais e nacionalizadas a pessoas físicas e jurídicas no âmbito da Zona Franca de Manaus,REsp 2152381/AM,Definir se a contribuição ao PIS e à COFINS incidem sobre a receita decorrente de vendas de mercadorias de origem nacional ou nacionalizada e advinda de prestação de serviço para pessoas físicas ou jurídicas no âmbito da Zona Franca de Manaus.,"Afetação na sessão eletrônica iniciada em 21/2/2024 e finalizada em 27/2/2024 (Primeira Seção), acórdãos publicados no DJe de 12/3/2024. Vide Controvérsia nº 584/http: //STJ. Questão de ordem publicada nos Recursos Especiais integrantes do tema, Djen de 9/12/2024, para ampliar a questão controvertida. Em decorrência, a data de afetação considerada para este tema é 9/12/2024.",Há determinação de suspensão dos recursos especiais ou agravos em recursos especiais em segunda instância e/ou no STJ fundados em idêntica questão de direito (art. 256-L do RISTJ).,Tema 1363/STF - Incidência de PIS e de Cofins sobre as receitas de prestação de serviços para pessoas físicas e jurídicas na Zona Franca de Manaus.,1ª Seção,Acórdão Publicado,DIREITO TRIBUTÁRIO,Contribuições Sociais,GURGEL DE FARIA,TRF1,,,,,4/12/2024,,Duplicado,202402259928,Sim,,,,,,,,,,,,GURGEL DE FARIA,,,
1239,11/06/2025,Não incidem a contribuição ao PIS e a COFINS sobre as receitas advindas da prestação de serviço e da venda de mercadorias nacionais e nacionalizadas a pessoas físicas e jurídicas no âmbito da Zona Franca de Manaus,REsp 2152161/AM,Definir se a contribuição ao PIS e à COFINS incidem sobre a receita decorrente de vendas de mercadorias de origem nacional ou nacionalizada e advinda de prestação de serviço para pessoas físicas ou jurídicas no âmbito da Zona Franca de Manaus.,"Afetação na sessão eletrônica iniciada em 21/2/2024 e finalizada em 27/2/2024 (Primeira Seção), acórdãos publicados no DJe de 12/3/2024. Vide Controvérsia nº 584/http: //STJ. Questão de ordem publicada nos Recursos Especiais integrantes do tema, Djen de 9/12/2024, para ampliar a questão controvertida. Em decorrência, a data de afetação considerada para este tema é 9/12/2024.",Há determinação de suspensão dos recursos especiais ou agravos em recursos especiais em segunda instância e/ou no STJ fundados em idêntica questão de direito (art. 256-L do RISTJ).,Tema 1363/STF - Incidência de PIS e de Cofins sobre as receitas de prestação de serviços para pessoas físicas e jurídicas na Zona Franca de Manaus.,1ª Seção,Acórdão Publicado,DIREITO TRIBUTÁRIO,Contribuições Sociais,GURGEL DE FARIA,TRF1,,,,,4/12/2024,,Duplicado,202402244805,Sim,,,,,,,,,,,,GURGEL DE FARIA,,,
1239,11/06/2025,Não incidem a contribuição ao PIS e a COFINS sobre as receitas advindas da prestação de serviço e da venda de mercadorias nacionais e nacionalizadas a pessoas físicas e jurídicas no âmbito da Zona Franca de Manaus,AREsp 2613918/AM,Definir se a contribuição ao PIS e à COFINS incidem sobre a receita decorrente de vendas de mercadorias de origem nacional ou nacionalizada e advinda de prestação de serviço para pessoas físicas ou jurídicas no âmbito da Zona Franca de Manaus.,"Afetação na sessão eletrônica iniciada em 21/2/2024 e finalizada em 27/2/2024 (Primeira Seção), acórdãos publicados no DJe de 12/3/2024. Vide Controvérsia nº 584/http: //STJ. Questão de ordem publicada nos Recursos Especiais integrantes do tema, Djen de 9/12/2024, para ampliar a questão controvertida. Em decorrência, a data de afetação considerada para este tema é 9/12/2024.",Há determinação de suspensão dos recursos especiais ou agravos em recursos especiais em segunda instância e/ou no STJ fundados em idêntica questão de direito (art. 256-L do RISTJ).,Tema 1363/STF - Incidência de PIS e de Cofins sobre as receitas de prestação de serviços para pessoas físicas e jurídicas na Zona Franca de Manaus.,1ª Seção,Acórdão Publicado,DIREITO TRIBUTÁRIO,Contribuições Sociais,GURGEL DE FARIA,TRF1,,,,,4/12/2024,,Duplicado,202401208561,Sim,,,,,,,,,,,,GURGEL DE FARIA,,,
1240,11/09/2024,O ISS compõe a base de cálculo do IRPJ e da CSLL quando apurados na sistemática do lucro presumido.,REsp 2089298/RN,"Definir se o Imposto sobre Serviços (ISS) compõe a base de cálculo do Imposto de Renda de Pessoa Jurídica (IRPJ) e da Contribuição Social sobre o Lucro Líquido (CSLL), quando apurados pela sistemática do lucro presumido.",Afetação na sessão eletrônica iniciada em 28/2/2024 e finalizada em 5/3/2024 (Primeira Seção). Vide Controvérsia nº 582/STJ.,Há determinação de suspensão dos recursos especiais ou agravos em recursos especiais em segunda instância e/ou no STJ fundados em idêntica questão de direito (art. 256-L do RISTJ).,,1ª Seção,Trânsito em Julgado,DIREITO TRIBUTÁRIO,Exclusão - ICMS,GURGEL DE FARIA,TRF5,,,,,12/3/2024,,Único,202302561735,Sim,,,,,,,,,,,,GURGEL DE FARIA,,,
1240,11/09/2024,O ISS compõe a base de cálculo do IRPJ e da CSLL quando apurados na sistemática do lucro presumido.,REsp 2089356/RN,"Definir se o Imposto sobre Serviços (ISS) compõe a base de cálculo do Imposto de Renda de Pessoa Jurídica (IRPJ) e da Contribuição Social sobre o Lucro Líquido (CSLL), quando apurados pela sistemática do lucro presumido.",Afetação na sessão eletrônica iniciada em 28/2/2024 e finalizada em 5/3/2024 (Primeira Seção). Vide Controvérsia nº 582/STJ.,Há determinação de suspensão dos recursos especiais ou agravos em recursos especiais em segunda instância e/ou no STJ fundados em idêntica questão de direito (art. 256-L do RISTJ).,,1ª Seção,Trânsito em Julgado,DIREITO TRIBUTÁRIO,Exclusão - ICMS,GURGEL DE FARIA,TRF5,,,,,12/3/2024,,Duplicado,202302740545,Sim,,,,,,,,,,,,GURGEL DE FARIA,,,
1241,,,REsp 2059576/MG,"Possibilidade de utilização da quantidade e variedade das drogas apreendidas para definir a fração da minorante do tráfico privilegiado, prevista no art. 33, §4º, da Lei nº 11.343/2006.","RRC de Origem (art. 1.030, IV e art. 1.036, §1º, do CPC/15). Afetação na sessão eletrônica iniciada em 6/3/2024 e finalizada em 12/3/2024 (Terceira Seção). Vide Controvérsia nº 543/STJ.",Não aplicação do disposto na parte final do §1º do art. 1.036 do Código de Processo Civil e no art. 256-L do Regimento Interno do Superior Tribunal de Justiça (suspensão do trâmite dos processos pendentes). (acórdão publicado no DJe de 22/3/2024).,,3ª Seção,Em Julgamento,DIREITO PENAL,"Tráfico de Drogas e Condutas Afins, Crimes do Sistema Nacional de Armas",RIBEIRO DANTAS,TJMG,,,,,,,Único,202300919651,Não,,,,,,,,,,,,RIBEIRO DANTAS,,,
1241,,,REsp 2059577/MG,"Possibilidade de utilização da quantidade e variedade das drogas apreendidas para definir a fração da minorante do tráfico privilegiado, prevista no art. 33, §4º, da Lei nº 11.343/2006.","RRC de Origem (art. 1.030, IV e art. 1.036, §1º, do CPC/15). Afetação na sessão eletrônica iniciada em 6/3/2024 e finalizada em 12/3/2024 (Terceira Seção). Vide Controvérsia nº 543/STJ.",Não aplicação do disposto na parte final do §1º do art. 1.036 do Código de Processo Civil e no art. 256-L do Regimento Interno do Superior Tribunal de Justiça (suspensão do trâmite dos processos pendentes). (acórdão publicado no DJe de 22/3/2024).,,3ª Seção,Em Julgamento,DIREITO PENAL,"Tráfico de Drogas e Condutas Afins, Crimes do Sistema Nacional de Armas",RIBEIRO DANTAS,TJMG,,,,,,,Duplicado,202300919663,Não,,,,,,,,,,,,RIBEIRO DANTAS,,,
1242,,,REsp 2035052/SP,Definir se há legitimidade concorrente da parte e do advogado para postular a condenação ou a majoração dos honorários advocatícios sucumbencias.,"Em sessão de julgamento realizada em 19/6/2024, a Corte Especial, por unanimidade, acolheu questão de ordem proposta pelo Sr. Ministro Relator para terar a delimitação do tema 1242 para constar na redação: ""Definir se há legitimidade concorrente da parte e do advogado para postular a condenação ou a majoração dos honorários advocatícios sucumbencias.""Afetação na sessão eletrônica iniciada em 13/12/2023 e finalizada em 19/12/2023 (Corte Especial). Vide Controvérsia nº 505/STJ.",Há determinação de suspensão do trâmite de todos os Recursos Especiais e Agravos em Recurso Especial no STJ e em segunda instância que tratem exclusivamente de honorários nos termos delimitados.,,Corte Especial,Afetado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Aposentadoria por Incapacidade Permanente,HERMAN BENJAMIN,TRF3,,,,,8/4/2024,,Único,202203381776,Não,,,,,,,,,,,,HERMAN BENJAMIN,,,
1242,,,REsp 2035262/SP,Definir se há legitimidade concorrente da parte e do advogado para postular a condenação ou a majoração dos honorários advocatícios sucumbencias.,"Em sessão de julgamento realizada em 19/6/2024, a Corte Especial, por unanimidade, acolheu questão de ordem proposta pelo Sr. Ministro Relator para terar a delimitação do tema 1242 para constar na redação: ""Definir se há legitimidade concorrente da parte e do advogado para postular a condenação ou a majoração dos honorários advocatícios sucumbencias.""Afetação na sessão eletrônica iniciada em 13/12/2023 e finalizada em 19/12/2023 (Corte Especial). Vide Controvérsia nº 505/STJ.",Há determinação de suspensão do trâmite de todos os Recursos Especiais e Agravos em Recurso Especial no STJ e em segunda instância que tratem exclusivamente de honorários nos termos delimitados.,,Corte Especial,Afetado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Aposentadoria por Incapacidade Permanente,HERMAN BENJAMIN,TRF3,,,,,9/4/2024,,Duplicado,202203399363,Não,,,,,,,,,,,,HERMAN BENJAMIN,,,
1242,,,REsp 2035272/SP,Definir se há legitimidade concorrente da parte e do advogado para postular a condenação ou a majoração dos honorários advocatícios sucumbencias.,"Em sessão de julgamento realizada em 19/6/2024, a Corte Especial, por unanimidade, acolheu questão de ordem proposta pelo Sr. Ministro Relator para terar a delimitação do tema 1242 para constar na redação: ""Definir se há legitimidade concorrente da parte e do advogado para postular a condenação ou a majoração dos honorários advocatícios sucumbencias.""Afetação na sessão eletrônica iniciada em 13/12/2023 e finalizada em 19/12/2023 (Corte Especial). Vide Controvérsia nº 505/STJ.",Há determinação de suspensão do trâmite de todos os Recursos Especiais e Agravos em Recurso Especial no STJ e em segunda instância que tratem exclusivamente de honorários nos termos delimitados.,,Corte Especial,Afetado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Aposentadoria por Incapacidade Permanente,HERMAN BENJAMIN,TRF3,,,,,9/4/2024,,Duplicado,202203399921,Não,,,,,,,,,,,,HERMAN BENJAMIN,,,
1242,,,REsp 2035284/SP,Definir se há legitimidade concorrente da parte e do advogado para postular a condenação ou a majoração dos honorários advocatícios sucumbencias.,"Em sessão de julgamento realizada em 19/6/2024, a Corte Especial, por unanimidade, acolheu questão de ordem proposta pelo Sr. Ministro Relator para terar a delimitação do tema 1242 para constar na redação: ""Definir se há legitimidade concorrente da parte e do advogado para postular a condenação ou a majoração dos honorários advocatícios sucumbencias.""Afetação na sessão eletrônica iniciada em 13/12/2023 e finalizada em 19/12/2023 (Corte Especial). Vide Controvérsia nº 505/STJ.",Há determinação de suspensão do trâmite de todos os Recursos Especiais e Agravos em Recurso Especial no STJ e em segunda instância que tratem exclusivamente de honorários nos termos delimitados.,,Corte Especial,Afetado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Aposentadoria por Incapacidade Permanente,HERMAN BENJAMIN,TRF3,,,,,9/4/2024,,Duplicado,202203400788,Não,,,,,,,,,,,,HERMAN BENJAMIN,,,
1243,,,REsp 2081493/SP,"Necessidade (ou não) de prévio ajuizamento de execução fiscal ou de concretização da penhora para exercício do direito de preferência no que concerne ao crédito tributário, em execução (lato sensu) movida por terceiro, a fim de que, em razão da pluralidade de credores, o dinheiro lhes seja distribuído e entregue consoante a ordem das respectivas preferências.",Afetação na sessão eletrônica iniciada em 6/3/2024 e finalizada em 12/3/2024 (Corte Especial). Vide Controvérsia nº 587/STJ.,"Há determinação de suspensão do processamento dos recursos especiais e dos agravos em recurso especial que discorram sobre idêntica questão jurídica, inclusive dos casos em sede de embargos de divergência no âmbito das Seções deste Tribunal.",,Corte Especial,Afetado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Despesas Condominiais, Crédito Tributário, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",MAURO CAMPBELL MARQUES,TJSPCF,,,,,9/4/2024,,Único,202302179960,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
1243,,,REsp 2093011/SP,"Necessidade (ou não) de prévio ajuizamento de execução fiscal ou de concretização da penhora para exercício do direito de preferência no que concerne ao crédito tributário, em execução (lato sensu) movida por terceiro, a fim de que, em razão da pluralidade de credores, o dinheiro lhes seja distribuído e entregue consoante a ordem das respectivas preferências.",Afetação na sessão eletrônica iniciada em 6/3/2024 e finalizada em 12/3/2024 (Corte Especial). Vide Controvérsia nº 587/STJ.,"Há determinação de suspensão do processamento dos recursos especiais e dos agravos em recurso especial que discorram sobre idêntica questão jurídica, inclusive dos casos em sede de embargos de divergência no âmbito das Seções deste Tribunal.",,Corte Especial,Afetado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Despesas Condominiais, Crédito Tributário, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",MAURO CAMPBELL MARQUES,TJSPCF,,,,,9/4/2024,,Duplicado,202301131376,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
1243,,,REsp 2093022/AM,"Necessidade (ou não) de prévio ajuizamento de execução fiscal ou de concretização da penhora para exercício do direito de preferência no que concerne ao crédito tributário, em execução (lato sensu) movida por terceiro, a fim de que, em razão da pluralidade de credores, o dinheiro lhes seja distribuído e entregue consoante a ordem das respectivas preferências.",Afetação na sessão eletrônica iniciada em 6/3/2024 e finalizada em 12/3/2024 (Corte Especial). Vide Controvérsia nº 587/STJ.,"Há determinação de suspensão do processamento dos recursos especiais e dos agravos em recurso especial que discorram sobre idêntica questão jurídica, inclusive dos casos em sede de embargos de divergência no âmbito das Seções deste Tribunal.",,Corte Especial,Afetado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Despesas Condominiais, Crédito Tributário, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",MAURO CAMPBELL MARQUES,TJAM,,,,,9/4/2024,,Duplicado,202301611094,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
1244,,,REsp 2046893/AM,"A possibilidade de exigência das contribuições ao PIS - Importação e COFINS - Importação nas operações de importação de países signatários do GATT, sobre mercadorias e bens destinados ao consumo interno ou industrialização na Zona Franca de Manaus - ZFM.",Afetação na sessão eletrônica iniciada em 13/3/2024 e finalizada em 19/3/2024 (Primeira Seção). Vide Controvérsia nº 589/STJ.,"Há determinação de suspensão do julgamento de todos os processos em primeira e segunda instâncias envolvendo a matéria, inclusive no Superior Tribunal de Justiça (art. 1.037, II, do CPC/2015).",,1ª Seção,Afetado,DIREITO TRIBUTÁRIO,Cofins,MARCO AURÉLIO BELLIZZE,TRF1,,,,,10/4/2024,,Único,202300066895,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
1244,,,REsp 2053569/AM,"A possibilidade de exigência das contribuições ao PIS - Importação e COFINS - Importação nas operações de importação de países signatários do GATT, sobre mercadorias e bens destinados ao consumo interno ou industrialização na Zona Franca de Manaus - ZFM.",Afetação na sessão eletrônica iniciada em 13/3/2024 e finalizada em 19/3/2024 (Primeira Seção). Vide Controvérsia nº 589/STJ.,"Há determinação de suspensão do julgamento de todos os processos em primeira e segunda instâncias envolvendo a matéria, inclusive no Superior Tribunal de Justiça (art. 1.037, II, do CPC/2015).",,1ª Seção,Afetado,DIREITO TRIBUTÁRIO,Cofins,MARCO AURÉLIO BELLIZZE,TRF1,,,,,10/4/2024,,Duplicado,202300507664,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
1244,,,REsp 2053647/AM,"A possibilidade de exigência das contribuições ao PIS - Importação e COFINS - Importação nas operações de importação de países signatários do GATT, sobre mercadorias e bens destinados ao consumo interno ou industrialização na Zona Franca de Manaus - ZFM.",Afetação na sessão eletrônica iniciada em 13/3/2024 e finalizada em 19/3/2024 (Primeira Seção). Vide Controvérsia nº 589/STJ.,"Há determinação de suspensão do julgamento de todos os processos em primeira e segunda instâncias envolvendo a matéria, inclusive no Superior Tribunal de Justiça (art. 1.037, II, do CPC/2015).",,1ª Seção,Afetado,DIREITO TRIBUTÁRIO,Cofins,MARCO AURÉLIO BELLIZZE,TRF1,,,,,10/4/2024,,Duplicado,202300520256,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
1245,11/09/2024,"Nos termos do art. 535, §8º, do CPC, é admissível o ajuizamento de Ação Rescisória para adequar julgado realizado antes de 13.05.2021 à modulação de efeitos estabelecida no Tema 69/STF Repercussão Geral.",REsp 2054759/RS,A admissibilidade de ação rescisória para adequar julgado à modulação de efeitos estabelecida no Tema nº 69 da repercussão geral do Supremo Tribunal Federal.,Processos destacados de origem pelo relator. Afetação na sessão eletrônica iniciada em 13/3/2024 e finalizada em 19/3/2024 (Primeira Seção). Vide Controvérsia nº 580/STJ.,"Há determinação de suspensão do julgamento de todos os processos em primeira e segunda instâncias envolvendo a matéria, inclusive no Superior Tribunal de Justiça (art. 1.037, II, do CPC/2015).",Tema 1338/STF - Cabimento de ação rescisória contra decisão transitada em julgado em desacordo com a modulação dos efeitos da tese de repercussão geral do Tema 69/RG (RE 574.706).,1ª Seção,Acórdão Publicado - RE Pendente,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Exclusão - ICMS, Ação Rescisória, Cofins, PIS",GURGEL DE FARIA,TRF4,,,,,10/4/2024,,Único,202300574482,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
1245,11/09/2024,"Nos termos do art. 535, §8º, do CPC, é admissível o ajuizamento de Ação Rescisória para adequar julgado realizado antes de 13.05.2021 à modulação de efeitos estabelecida no Tema 69/STF Repercussão Geral.",REsp 2066696/RS,A admissibilidade de ação rescisória para adequar julgado à modulação de efeitos estabelecida no Tema nº 69 da repercussão geral do Supremo Tribunal Federal.,Processos destacados de origem pelo relator. Afetação na sessão eletrônica iniciada em 13/3/2024 e finalizada em 19/3/2024 (Primeira Seção). Vide Controvérsia nº 580/STJ.,"Há determinação de suspensão do julgamento de todos os processos em primeira e segunda instâncias envolvendo a matéria, inclusive no Superior Tribunal de Justiça (art. 1.037, II, do CPC/2015).",Tema 1338/STF - Cabimento de ação rescisória contra decisão transitada em julgado em desacordo com a modulação dos efeitos da tese de repercussão geral do Tema 69/RG (RE 574.706).,1ª Seção,Acórdão Publicado - RE Pendente,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Exclusão - ICMS, Ação Rescisória, Cofins, PIS",GURGEL DE FARIA,TRF4,,,,,10/4/2024,,Duplicado,202301102687,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
1246,,"É inadmissível recurso especial interposto para rediscutir as conclusões do acórdão recorrido quanto ao preenchimento, em caso concreto em que se controverte quanto a benefício por incapacidade (aposentadoria por invalidez, auxíliodoença ou auxílioacidente), do requisito legal da incapacidade do segurado para o exercício de atividade laborativa, seja pela vertente de sua existência, de sua extensão (total ou parcial) e/ou de sua duração (temporária ou permanente).",REsp 2082395/SP,"(In)admissibilidade de recurso especial interposto para rediscutir as conclusões do acórdão recorrido quanto ao preenchimento, em caso concreto em que se controverte quanto a benefício previdenciário por incapacidade (aposentadoria por invalidez, auxílio-doença ou auxílio-acidente), do requisito legal da incapacidade do segurado para o exercício de atividade laborativa, seja pela vertente de sua existência, de sua extensão (total ou parcial) e/ou de sua duração (temporária ou permanente).",Processos destacados de origem pelo relator. Afetação na sessão eletrônica iniciada em 3/4/2024 e finalizada em 9/4/2024 (Primeira Seção).,Há determinação de suspensão somente dos recursos especiais ou agravos em recurso especial pendentes que versem sobre a questão delimitada e em trâmite no território nacional.,,1ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Aposentadoria por Invalidez Acidentária, Auxílio-Acidente (Art. 86)",PAULO SÉRGIO DOMINGUES,TJSP,,,,,12/4/2024,,Único,202302231694,Não,,,,,,,,,,,,PAULO SÉRGIO DOMINGUES,,,
1246,,"É inadmissível recurso especial interposto para rediscutir as conclusões do acórdão recorrido quanto ao preenchimento, em caso concreto em que se controverte quanto a benefício por incapacidade (aposentadoria por invalidez, auxíliodoença ou auxílioacidente), do requisito legal da incapacidade do segurado para o exercício de atividade laborativa, seja pela vertente de sua existência, de sua extensão (total ou parcial) e/ou de sua duração (temporária ou permanente).",REsp 2098629/SP,"(In)admissibilidade de recurso especial interposto para rediscutir as conclusões do acórdão recorrido quanto ao preenchimento, em caso concreto em que se controverte quanto a benefício previdenciário por incapacidade (aposentadoria por invalidez, auxílio-doença ou auxílio-acidente), do requisito legal da incapacidade do segurado para o exercício de atividade laborativa, seja pela vertente de sua existência, de sua extensão (total ou parcial) e/ou de sua duração (temporária ou permanente).",Processos destacados de origem pelo relator. Afetação na sessão eletrônica iniciada em 3/4/2024 e finalizada em 9/4/2024 (Primeira Seção).,Há determinação de suspensão somente dos recursos especiais ou agravos em recurso especial pendentes que versem sobre a questão delimitada e em trâmite no território nacional.,,1ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Aposentadoria por Invalidez Acidentária, Auxílio-Acidente (Art. 86)",PAULO SÉRGIO DOMINGUES,TRF3,,,,,12/4/2024,,Duplicado,202203027190,Não,,,,,,,,,,,,PAULO SÉRGIO DOMINGUES,,,
1247,09/04/2025,"O creditamento de IPI, estabelecido no art. 11 da Lei nº 9.779/1999, decorrente da aquisição tributada de matériaprima, produto intermediário e material de embalagem utilizados na industrialização, abrange a saída de produtos isentos, sujeitos à alíquota zero e imunes.",REsp 1976618/RJ,"A possibilidade de se estender o creditamento de IPI previsto no art. 11, da Lei nº 9.779/99 também para os produtos finais não tributados (NT), imunes, previstos no art. 155, §3º, da CF/88.",. Afetação na sessão eletrônica iniciada em 3/4/2024 e finalizada em 9/4/2024 (Primeira Seção). Vide Controvérsia nº 577/STJ.,"Há determinação de suspensão do julgamento de todos os processos em primeira e segunda instâncias envolvendo a matéria, inclusive no Superior Tribunal de Justiça (art. 1.037, II, do CPC/2015).",,1ª Seção,Acórdão Publicado,DIREITO TRIBUTÁRIO,"IPI/ Imposto sobre Produtos Industrializados, Compensação, Dívida Ativa (Execução Fiscal)",MARCO AURÉLIO BELLIZZE,TRF2,,,,,,,Único,202100896311,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
1247,09/04/2025,"O creditamento de IPI, estabelecido no art. 11 da Lei nº 9.779/1999, decorrente da aquisição tributada de matériaprima, produto intermediário e material de embalagem utilizados na industrialização, abrange a saída de produtos isentos, sujeitos à alíquota zero e imunes.",REsp 1995220/RJ,"A possibilidade de se estender o creditamento de IPI previsto no art. 11, da Lei nº 9.779/99 também para os produtos finais não tributados (NT), imunes, previstos no art. 155, §3º, da CF/88.",. Afetação na sessão eletrônica iniciada em 3/4/2024 e finalizada em 9/4/2024 (Primeira Seção). Vide Controvérsia nº 577/STJ.,"Há determinação de suspensão do julgamento de todos os processos em primeira e segunda instâncias envolvendo a matéria, inclusive no Superior Tribunal de Justiça (art. 1.037, II, do CPC/2015).",,1ª Seção,Acórdão Publicado,DIREITO TRIBUTÁRIO,"IPI/ Imposto sobre Produtos Industrializados, Compensação, Dívida Ativa (Execução Fiscal)",MARCO AURÉLIO BELLIZZE,TRF2,,,,,,,Duplicado,202200961218,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
1248,11/06/2025,"Nas execuções fiscais fundadas numa única Certidão de Dívida Ativa, composta por débitos de exercícios diferentes do mesmo tributo, a determinação da alçada, prevista no art. 34, e §caput 1º, da Lei nº 6.830/1980, deverá considerar o total da dívida constante do título executivo.",REsp 2077135/RJ,"Definir se, para efeito de cabimento do recurso de apelação em execução fiscal do mesmo tributo, deve ser observado o montante total do título executado ou os débitos individualmente considerados, nos termos do art. 34, caput e §1º, da Lei nº 6.830/1980.","RRC de Origem (art. 1030, IV e art. 1036, §1º, do CPC/15). Afetação na sessão eletrônica iniciada em 3/4/2024 e finalizada em 9/4/2024 (Primeira Seção). Vide Controvérsia nº 569/STJ.","Há determinação de suspensão da tramitação dos Recursos Especiais e Agravos em Recursos Especiais em segundo grau de jurisdição e/ou no Superior Tribunal de Justiça, adotandose, neste último caso, a providência prevista no art. 256-L do RISTJ.",,1ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,IPTU/ Imposto Predial e Territorial Urbano,REGINA HELENA COSTA,TJRJ,,,,,,,Único,202301966849,Sim,,,,,,,,,,,,REGINA HELENA COSTA,,,
